번호,시설명,도로명전체주소,위도(EPSG4326),경도(EPSG4326)
1,현대빌딩 본관 지하2층,"서울특별시 종로구 율곡로 75, 현대빌딩 (계동)",37.57747342,126.9875197
2,대동세무고등학교 본관 지하1층,"서울특별시 종로구 계동길 84-10, 대동세무고등학교 (계동)",37.58105629,126.9874826
3,서울농학교 청각언어훈련센터 지하1층,"서울특별시 종로구 필운대로 103, 국립서울농학교 청각언어훈련센터동 지하1층 (신교동)",37.58413719,126.9688414
4,서울맹학교 초등교육관 지하1층,"서울특별시 종로구 필운대로 97, 국립서울맹학교 초등교육관동 지하1층 (신교동)",37.58419965,126.9682266
6,유림회관 지하1층,"서울특별시 종로구 성균관로 31 (명륜3가, 유림회관)",37.58555951,126.9968403
8,서울대학교병원 융합의학기술원(정림빌딩)지하2층 강당,"서울특별시 종로구 율곡로 214 (연건동, 정림빌딩)",37.57594076,127.0026396
10,창신2동 동대문맨션 지하1층,"서울특별시 종로구 창신길 20 (창신동, 동대문맨션)",37.57247164,127.0107767
11,우리은행창신동지점 지하1층,"서울특별시 종로구 종로 311 (창신동, (주)우리은행창신동지점)",37.57220972,127.0122783
12,지하철3호선 안국역 지하1~3층 대합실 승강장,"서울특별시 종로구 율곡로 지하62, 3호선 안국역 (안국동)",37.57677457,126.9860859
13,극동문제연구소 통일관 지하2층 주차장,"서울특별시 종로구 북촌로15길 2, 극동문제연구소/통일관 지하2층 (삼청동)",37.58665241,126.983538
15,한국방송통신대학교 본관 지하1층~3층 주차장,"서울특별시 종로구 대학로 86, 한국방송통신대학 지하1-3층 (동숭동)",37.57873108,127.0024692
16,KT혜화지사 지하1층 체력단련실,"서울특별시 종로구 대학로 65 (연건동, KT혜화지사)",37.57712822,127.0019755
18,서울지방국세청 지하2~4층,"서울특별시 종로구 종로5길 86 (수송동, 국세청)",37.57401947,126.9795382
19,삼환빌딩 지하1~2층,"서울특별시 종로구 율곡로 88 (운니동, 삼환빌딩)",37.57693621,126.9889218
